year,municipality_nis_code,Gemiddeld_inkomen_per_aangifte,Mediaan_inkomen_per_aangifte,Gemiddeld_inkomen_per_inwoner,Interkwartiel_verschil,Interkwartiele_coefficient,Interkwartiele_assymmetrie,Welvaartsindex
2005,71017,24793,19356,13870,19619,101.36,26.74,101.89
2005,71020,24379,19331,13736,18979,98.17,22.75,100.91
2005,71022,25076,19475,15247,20384,104.67,21.17,112
2005,71024,25091,19503,14069,21372,109.58,26,103.36
2005,71034,22853,19620,12957,16685,85.04,10.37,95.18
2005,71037,25301,20039,14176,20038,100,23.58,104.14
2005,71045,23789,19034,13512,18751,98.52,23.01,99.26
2005,71047,24845,20477,13127,19427,94.88,20.9,96.44
2005,71053,23393,17848,13961,18505,103.68,24.38,102.56
2005,71057,25874,20618,14637,20149,97.73,20.91,107.53
2005,71066,25099,20172,13935,20206,100.17,19.26,102.37
2005,71067,25605,20673,13968,21178,102.44,20.38,102.61
2005,71069,24304,19915,13598,18567,93.23,20.23,99.9
2005,71070,23531,18886,12573,16900,89.48,15.66,92.36
2005,72000,23589,19551,12664,18154,92.86,17.46,93.04
2005,72003,22944,19494,12230,18495,94.87,15.93,89.85
2005,72004,23916,19234,13399,18398,95.66,16.58,98.43
2005,72018,22890,19209,12061,17521,91.21,15.7,88.61
2005,72020,23806,19682,12874,18432,93.65,20.86,94.57
2005,72021,24478,19631,13007,18639,94.95,20.87,95.55
2005,72025,24361,20025,13161,18739,93.58,17.61,96.68
2005,72029,24179,19875,13055,18625,93.71,22.98,95.9
2005,72030,23848,20277,13052,19325,95.31,13.08,95.88
2005,72037,22510,18618,12135,16377,87.96,16.66,89.14
2005,72038,23835,19742,12710,19096,96.73,16.98,93.37
2005,72039,22485,18889,12068,16886,89.4,14.24,88.65
2005,72040,24031,20177,12847,18792,93.14,16.38,94.38
2005,72041,23504,19676,12147,17325,88.05,17.39,89.23
2005,73000,23657,18559,13220,18323,98.73,23.19,97.11
2005,73001,26358,20170,14453,21387,106.03,24.46,106.17
2005,73006,23709,18939,13261,18803,99.28,21.14,97.41
2005,73009,24292,18836,13905,19819,105.22,26.26,102.15
2005,73022,23277,18011,13288,17667,98.09,30.29,97.61
2005,73028,22157,15073,14051,23000,152.59,43.66,103.22
2005,73032,24378,18945,13625,19125,100.95,26.28,100.09
2005,73040,25549,19767,14236,20342,102.91,21.82,104.58
2005,73042,24521,18813,13633,18936,100.66,23.27,100.15
2005,73066,23604,18735,12856,18734,100,27.06,94.44
2005,73083,23956,18467,13862,18395,99.61,23.02,101.84
2005,73098,24864,19874,14165,19143,96.32,22.42,104.06
2005,73107,21073,17312,11584,15432,89.14,18.23,85.1
2005,73109,23059,17901,12062,19507,108.97,24.07,88.61
2005,80000,23954,18521,12819,20341,109.82,21.85,94.17
2005,81000,29216,22688,15092,24206,106.69,17.55,110.87
2005,81001,30015,22556,15803,26264,116.44,20.44,116.09
2005,81003,35411,26601,15941,34743,130.61,26.32,117.11
2005,81004,25802,21664,13424,19844,91.6,11.82,98.61
2005,81013,23701,19075,12751,20945,109.8,22.04,93.67
2005,81015,31157,24551,15914,25174,102.53,19.64,116.9
2005,82000,22228,17472,11932,19325,110.6,21.89,87.66
2005,82003,22686,17863,12007,19876,111.27,20,88.21
2005,82005,23003,17725,11886,19157,108.08,24.87,87.32
2005,82009,26049,19636,12751,23791,121.16,24.82,93.67
2005,82014,21040,16463,11935,18058,109.68,24.68,87.68
